Embedder,Optimizer,MOTA,IDF1,FPS
mobilenetv2,qpso,1.0,0.78,29.91041623613453
mobilenetv2,nsga,0.95,0.89,24.5
mobilenetv2,mopso,0.95,0.89,24.5
shufflenetv2,qpso,1.0,0.81,29.189361372187573
shufflenetv2,nsga,0.95,0.89,24.5
shufflenetv2,mopso,0.95,0.89,24.5
resnet,qpso,1.0,0.78,27.970059394369873
resnet,nsga,0.95,0.89,24.5
resnet,mopso,0.95,0.89,24.5
mobilenetv2,qpso,1.0,0.81,42.12544538403357
mobilenetv2,nsga,1.0,0.81,29.750737583246313
mobilenetv2,mopso,0.9,0.81,29.99649917556738
shufflenetv2,qpso,1.0,0.81,40.97138745818793
shufflenetv2,nsga,1.0,0.81,36.50080944372119
mobilenetv2,qpso,1.0,0.81,37.883
mobilenetv2,nsga,1.0,0.81,41.737
mobilenetv2,mopso,0.8,0.75,36.012
shufflenetv2,qpso,1.0,0.78,28.827
shufflenetv2,nsga,1.0,0.81,43.041
shufflenetv2,mopso,0.8500000000000001,0.75,33.944
resnet,qpso,1.0,0.81,41.245
resnet,nsga,1.0,0.81,37.884
